gene_symbol	associated_genes
NAPEPLD	ZNF721,  FAM179B,  SPHK2,  NAPEPLD,  DMXL2,  GOSR2,  ZMYM6,  SPIN2B,  LRRC37A2,  HINFP,  KIAA0195,  KCTD6,  KPNA5,  MAPK8,  TADA2A,  TRIM23
SH3YL1	ZNF721,  DIRC2,  ZNF506,  SH3YL1,  LRBA,  LNX2,  DIS3L2,  ZNF140,  ADCK1,  PAFAH2,  DNAJC16,  ZNF432,  ZNF226,  C10orf118,  MAP3K13,  SMCR7,  ZBTB33,  PEX7,  ZNF254
ZNF479	ZNF716,ZNF98,ZNF273,ZNF92,ZNF708,ZNF254,ZNF680,ZNF726,ZNF431,ZNF737,ZNF429,ZNF675,ZNF430,ZNF85,ZNF730,ZNF728,ZNF493,ZNF91,ZNF43,ZNF257,ZNF729,ZNF93,ZNF208,ZNF735,ZNF626,ZNF492,ZNF732,ZNF100,ZNF679,ZNF253,ZNF681,ZNF99,ZNF676,ZNF90,ZNF141,ZNF714,ZNF718,ZNF682,ZNF107,ZNF486,ZNF117,ZNF695,ZNF678,ZNF721,ZNF727,ZNF506,ZNF720,ZNF736,ZNF665,ZNF879,ZNF420,ZNF283,ZNF850,ZNF565,ZNF880,ZNF267,ZNF160,ZFP14,ZFP30,ZNF780A,ZNF568,ZNF845,ZNF480,ZNF546,ZNF780B,ZNF813,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF790,ZNF189,ZNF30,ZNF383,ZNF624,ZNF470,ZNF527,ZNF583,ZNF571,ZNF616,ZNF519,ZNF699,ZNF761,ZFP82,ZNF569,ZNF195,ZNF540,ZNF578,ZNF765,ZNF135,ZNF836,ZNF570,ZNF534,ZNF354A,ZNF841,ZNF345,ZNF234
ZNF679	ZNF716,ZNF735,ZNF479,ZNF92,ZNF430,ZNF98,ZNF431,ZNF680,ZNF273,ZNF100,ZNF708,ZNF85,ZNF429,ZNF728,ZNF257,ZNF208,ZNF726,ZNF43,ZNF718,ZNF729,ZNF91,ZNF675,ZNF254,ZNF141,ZNF737,ZNF93,ZNF626,ZNF730,ZNF253,ZNF493,ZNF486,ZNF732,ZNF99,ZNF506,ZNF682,ZNF492,ZNF681,ZNF90,ZNF676,ZNF714,ZNF736,ZNF727,ZNF695,ZNF117,ZNF107,ZNF678,ZNF720,ZNF138,ZNF721,ZNF565,ZNF383,ZNF665,ZNF790,ZNF829,ZNF420,ZNF850,ZNF546,ZNF582,ZNF780A,ZNF879,ZNF461,ZNF571,ZNF251,ZNF485,ZNF283,ZNF480,ZNF140,ZNF566,ZNF780B,ZNF184,ZFP30,ZNF3,ZNF880,ZNF160,ZFP14,ZNF528,ZNF569,ZNF250,ZNF25,ZNF331,ZNF813,ZNF30,ZNF766,ZNF157,ZNF454,ZNF583,ZFP82,ZNF568,ZNF540,ZNF761,ZNF234,ZNF189,ZNF7,ZNF79,ZNF468,ZNF436,ZNF699,ZNF573,ZNF320,ZNF765
NRL	ZNF713,  ZNF583,  MCMDC2,  ZRANB3,  TMEM42,  TECTA,  GANC,  SLC25A53,  RGS5,  ZNF396,  MCART6,  LRRC37A,  NRL
ZNF366	ZNF710,ZNF226,ZNF234,ZNF836,ZNF84,ZNF84,ZNF98,ZFP112,ZNF347,ZNF492,ZNF250,ZNF708,ZNF568,ZNF540,ZNF160,ZNF71,ZNF596,ZNF729,ZNF99,ZNF436,ZNF714,ZNF420,ZNF805,ZNF85,ZNF493,ZNF264,ZNF184,ZNF678,ZNF235,ZNF543,ZNF665,ZNF287,ZNF77,ZNF737,ZNF569,ZNF677,ZNF256,ZNF135,ZNF419,ZNF726,ZNF429,ZNF43,ZNF93,ZNF431,ZNF225,ZNF28,ZNF551,ZNF480,ZNF675,ZNF606,ZNF254,ZNF546,ZNF534,ZNF415,ZNF530,ZNF16,ZNF23,ZNF555,ZNF699,ZNF565,ZNF570,ZNF528,ZNF41,ZNF83,ZNF835,ZNF33A,ZSCAN2,ZNF728,ZNF227,ZNF814,ZNF782,ZNF30,ZNF583,ZNF33B,ZNF100,ZNF91,ZNF681,HKR1,ZNF880,ZNF502,ZNF879,ZNF311,ZNF12,ZNF484,ZNF133,ZNF852,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF208,ZNF629,ZNF720,ZNF430,ZNF585A,ZNF471,ZNF470,ZNF300
ARSB	ZNF71,  DIEXF,  ARSB,  DHFRL1,  SLC25A51,  KLF12,  ZNF407,  TMLHE,  XXYLT1,  GTF2H2C,  ALKBH8,  MBTPS2,  PLEKHA3,  ZNF880,  SLC35B2,  ARSK,  BMI1
ZNF124	ZNF709,ZNF791,ZNF670,ZNF490,ZNF136,ZNF627,ZNF878,ZNF625,ZNF669,ZNF844,ZNF14,ZNF433,ZNF799,ZNF558,ZNF20,ZNF135,ZNF700,ZNF782,ZNF557,ZNF699,ZNF44,ZNF571,ZNF77,ZNF675,ZNF157,ZNF443,ZNF101,ZNF283,ZNF420,ZNF383,ZNF436,ZNF556,ZFP37,ZNF678,ZNF331,ZNF426,ZNF491,ZNF93,ZKSCAN7,ZNF79,ZNF345,ZFP2,ZNF84,ZNF84,ZNF829,ZNF91,ZNF879,ZNF555,ZNF429,ZNF229,ZNF180,ZNF470,ZNF391,ZNF273,ZNF439,ZNF461,ZNF568,ZNF441,ZNF852,ZNF726,ZNF708,ZNF251,ZNF85,ZNF184,ZNF211,ZNF214,ZNF442,PRDM9,ZNF41,ZNF479,ZNF732,ZNF778,ZNF720,ZNF563,ZNF682,ZNF626,ZNF100,ZNF582,ZFP112,ZNF43,ZNF23,ZNF567,ZNF569,ZNF570,ZNF16,ZNF527,ZNF883,ZNF99,ZNF565,ZNF529,ZNF607,ZNF71,ZNF92,ZNF287,ZNF559,ZNF846,ZNF253,ZNF430,ZNF677,ZNF329
ZNF136	ZNF709,ZNF791,ZNF14,ZNF433,ZNF442,ZNF443,ZNF44,ZNF823,ZNF441,ZNF799,ZNF627,ZNF878,ZNF20,ZNF700,ZNF490,ZNF563,ZNF555,ZNF440,ZNF439,ZNF491,ZNF699,ZNF57,ZNF77,ZNF93,ZNF420,ZNF30,ZFP14,ZNF665,ZNF678,ZNF283,ZNF569,ZNF571,ZNF708,ZNF345,ZNF234,ZNF726,ZNF850,ZNF99,ZNF879,ZNF729,ZNF429,ZNF625,ZNF98,ZNF91,ZNF135,ZNF160,ZNF728,ZNF85,ZNF737,ZNF624,ZNF732,ZNF43,ZNF23,ZNF568,ZNF208,ZNF470,ZNF546,ZFP2,ZNF599,ZNF658B,ZNF658,ZNF658B,ZNF347,ZNF426,ZNF585B,ZNF540,ZNF573,ZNF227,ZNF235,ZNF84,ZNF84,ZNF45,ZNF780A,ZNF493,ZNF471,ZNF184,ZNF484,ZNF616,ZNF528,ZNF721,ZNF268,ZNF670,ZNF607,ZNF880,ZKSCAN7,ZNF41,ZNF90,ZNF676,ZNF780B,ZNF224,ZNF431,ZFP82,ZNF226,ZNF479,ZNF33B,ZNF846,ZNF221,ZNF778,ZNF492,ZNF16
ZNF555	ZNF709,ZNF699,ZNF791,ZNF14,ZNF57,ZNF420,ZNF44,ZNF77,ZNF443,ZNF700,ZNF878,ZNF799,ZNF433,ZNF442,ZNF823,ZNF93,ZNF136,ZNF283,ZNF184,ZNF135,ZNF441,ZNF665,ZNF429,ZNF91,ZNF726,ZNF571,ZNF778,ZNF30,ZNF729,ZNF569,ZNF658,ZNF850,ZNF85,ZNF658B,ZNF658B,ZNF99,ZNF234,ZNF678,ZNF43,ZNF470,ZNF208,ZNF568,ZNF540,ZNF347,ZNF490,ZNF224,ZNF728,ZNF160,ZNF20,ZNF845,ZNF573,ZNF471,ZNF546,ZNF84,ZNF84,ZNF624,ZNF761,ZNF780A,ZNF226,ZNF816,ZNF197,ZNF345,ZNF841,ZNF780B,ZNF254,ZNF607,ZNF225,ZNF721,ZNF45,ZNF605,ZNF528,ZNF681,ZNF23,ZNF493,ZNF676,ZNF33B,ZNF708,ZNF227,ZNF229,ZNF17,ZNF189,ZNF599,ZNF808,ZNF28,ZNF12,ZNF836,ZNF616,ZNF534,ZNF90,ZNF180,ZNF484,ZNF813,ZFP62,ZNF107,ZNF737,ZNF182,ZNF732,ZNF33A,ZNF418,ZNF16
ZNF878	ZNF709,ZNF433,ZNF791,ZNF14,ZNF700,ZNF20,ZNF136,ZNF443,ZNF441,ZNF44,ZNF442,ZNF823,ZNF490,ZNF799,ZNF555,ZNF627,ZNF439,ZNF440,ZNF699,ZNF420,ZNF283,ZNF678,ZNF571,ZNF57,ZNF491,ZNF135,ZNF345,ZNF30,ZNF93,ZNF850,ZNF658B,ZNF658B,ZNF658,ZNF546,ZNF77,ZNF563,ZNF569,ZNF470,ZNF624,ZNF708,ZNF84,ZNF84,ZNF568,ZNF23,ZNF91,ZNF229,ZNF182,ZNF227,ZNF268,ZNF726,ZNF429,ZNF573,ZNF184,ZNF471,ZNF43,ZNF540,ZNF665,ZNF33B,ZNF234,ZNF160,ZNF197,ZNF224,ZNF585B,ZNF484,ZNF85,ZNF721,ZNF33A,ZNF235,ZNF528,ZFP28,ZNF208,ZNF585A,ZNF607,ZNF226,ZNF814,ZNF780A,ZNF778,ZNF780B,ZFP14,ZNF729,ZFP82,ZNF45,ZNF676,ZNF418,ZNF605,ZNF17,ZNF189,ZNF99,ZNF28,ZNF879,ZNF846,ZNF728,ZNF221,ZNF841,ZNF616,ZKSCAN7,ZNF12,ZNF16,ZNF761,ZFP62
ZNF699	ZNF709,ZNF14,ZNF555,ZNF420,ZNF791,ZNF433,ZNF569,ZNF93,ZNF700,ZNF546,ZNF184,ZNF135,ZNF850,ZNF470,ZNF571,ZNF778,ZNF607,ZNF726,ZNF429,ZNF665,ZNF540,ZNF43,ZNF91,ZNF780A,ZNF568,ZNF283,ZNF77,ZNF12,ZNF85,ZNF441,ZNF658B,ZNF658,ZNF658B,ZNF624,ZNF471,ZNF729,ZNF442,ZNF30,ZNF44,ZNF780B,ZNF443,ZNF573,ZNF208,ZNF84,ZNF84,ZNF160,ZNF23,ZNF268,ZNF254,ZNF678,ZNF99,ZNF493,ZNF45,RBAK,ZNF823,ZNF585B,ZNF234,ZNF227,ZNF33B,ZNF799,ZNF57,ZNF345,ZNF33A,ZNF560,ZNF616,ZNF728,ZNF681,ZNF790,ZNF708,ZNF534,ZNF717,ZNF676,ZNF224,ZNF878,ZNF605,ZNF90,ZNF721,ZNF615,ZNF267,ZNF606,ZNF132,ZNF136,ZNF675,ZNF235,ZNF845,ZNF761,ZNF182,ZNF347,ZNF197,ZNF737,ZNF432,ZNF41,ZNF17,ZNF599,ZNF732,ZNF266,ZNF813,ZNF16,ZNF528,ZNF841
ZNF791	ZNF709,ZNF14,ZNF433,ZNF878,ZNF700,ZNF136,ZNF823,ZNF441,ZNF44,ZNF442,ZNF420,ZNF555,ZNF699,ZNF443,ZNF20,ZNF799,ZNF850,ZNF30,ZNF571,ZNF658,ZNF658B,ZNF658B,ZNF624,ZNF569,ZNF91,ZNF490,ZNF665,ZNF160,ZNF208,ZNF99,ZNF546,ZNF93,ZNF761,ZNF729,ZNF347,ZNF283,ZNF229,ZNF23,ZNF43,ZNF616,ZNF197,ZFP62,ZNF573,ZNF234,ZNF470,ZNF184,ZNF845,ZNF227,ZNF721,ZNF726,ZNF585B,ZNF429,ZNF780A,ZNF568,ZNF226,ZNF268,ZNF607,ZNF841,ZNF585A,ZNF135,ZNF84,ZNF84,ZNF345,ZNF627,ZNF440,ZNF45,ZNF780B,ZNF678,ZNF836,ZNF484,ZNF493,ZNF708,ZNF814,ZNF808,ZNF254,ZNF605,ZNF439,ZNF540,ZNF33B,ZNF235,ZNF41,ZNF600,ZNF107,ZNF676,ZNF471,ZNF77,ZNF189,ZNF224,ZNF17,ZNF728,ZNF225,ZNF778,ZNF85,ZNF28,ZNF16,ZNF615,ZNF90,ZNF182,ZNF57,ZNF563
ZNF596	ZNF709,ZNF14,ZNF135,ZNF846,ZNF283,ZNF420,ZNF678,ZNF878,ZNF93,ZNF16,ZNF569,ZNF568,ZNF383,ZNF583,ZNF791,ZNF20,ZNF136,ZNF879,ZNF708,ZNF317,ZNF480,ZNF543,ZFP2,ZNF184,ZNF92,ZNF30,ZNF479,ZNF433,ZNF431,ZNF442,ZNF782,ZNF84,ZNF84,ZNF85,ZNF675,ZNF681,ZNF570,ZNF729,ZNF98,ZNF470,ZNF658B,ZNF658B,ZNF555,ZNF426,ZNF471,ZNF658,ZNF99,ZNF454,ZNF25,ZNF737,ZNF347,ZNF699,ZNF728,ZNF546,ZKSCAN7,ZNF665,ZNF253,ZNF43,ZNF45,ZNF227,ZNF287,ZNF429,ZNF345,ZNF490,ZNF880,ZNF441,ZNF626,ZNF585B,ZNF700,ZNF571,ZNF160,ZNF251,ZNF189,ZNF799,ZNF44,ZNF33B,ZNF91,ZNF726,ZNF790,ZNF229,ZSCAN2,ZNF613,ZNF250,ZNF836,ZNF37A,ZNF585A,ZNF226,ZNF721,ZNF850,ZNF682,ZNF616,ZNF599,ZNF676,ZFP28,ZNF273,ZNF33A,ZNF234,ZNF235,ZNF528,ZNF720
ZNF257	ZNF708,ZNF429,ZNF92,ZNF85,ZNF98,ZNF675,ZNF681,ZNF254,ZNF726,ZNF493,ZNF737,ZNF93,ZNF728,ZNF43,ZNF273,ZNF431,ZNF430,ZNF492,ZNF91,ZNF729,ZNF208,ZNF90,ZNF99,ZNF100,ZNF680,ZNF676,ZNF626,ZNF730,ZNF714,ZNF479,ZNF732,ZNF107,ZNF253,ZNF117,ZNF716,ZNF678,ZNF486,ZNF682,ZNF141,ZNF718,ZNF695,ZNF506,ZNF721,ZNF720,ZNF420,ZNF347,ZNF679,ZNF735,ZNF780A,ZNF160,ZNF780B,ZNF727,ZNF880,ZNF665,ZNF813,ZNF528,ZNF470,ZNF30,ZNF836,ZNF519,ZNF234,ZNF283,ZNF471,ZNF135,ZNF184,ZNF568,ZNF546,ZNF543,ZNF569,ZNF311,ZNF841,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF879,ZNF267,ZFP14,ZNF624,ZNF790,ZNF616,ZNF195,ZNF540,ZNF761,ZNF583,ZNF736,ZNF845,ZNF578,ZNF850,ZNF534,ZNF83,ZNF571,ZNF573,ZNF189,ZNF502,ZFP30,ZNF565,ZNF16
ZNF644	ZNF708,ZNF343,ZNF85,ZNF382,ZIK1,ZNF484,ZNF133,ZNF567,PRDM5,ZNF41,ZNF551,ZNF600,PRDM9,ZNF799,ZSCAN12,ZNF93,ZNF337,ZNF436,ZNF205,ZNF594,ZNF681,ZNF135,ZNF845,ZNF440,ZNF614,ZNF335,ZFY,ZNF599,ZNF37A,ZNF91,ZNF70,ZNF510,ZNF195,ZNF718,ZNF121,ZSCAN29,ZNF573,ZNF716,ZNF23,ZNF543,ZNF547,ZNF761,ZNF154,ZNF99,ZFX,ZNF493,ZNF254,ZNF582,ZNF814,ZNF273,ZNF92,ZNF398,ZNF157,ZNF808,ZNF140,ZNF175,ZNF416,ZNF696,ZNF774,ZNF57,ZNF816,ZNF777,ZNF333,ZNF431,HKR1,ZNF445,ZNF623,ZNF483,ZNF711,ZNF619,ZNF729,MZF1,ZNF2,ZSCAN26,ZNF43,ZNF629,ZNF676,ZNF675,ZNF585B,ZNF224,ZNF226,ZNF132,ZNF334,ZNF674,ZNF347,ZNF555,WIZ,ZNF429,ZNF468,ZNF606,ZNF7,ZNF169,ZNF735,PRDM16,ZNF420,ZNF585A,ZNF221,ZNF749,ZNF142,ZNF479
ZNF705B	ZNF705D,ZNF705A,ZNF705G,ZNF596,ZNF558,ZNF317,ZNF829,ZNF557,ZNF98,ZNF184,ZNF708,ZNF679,ZNF140,ZNF566,ZNF568,ZFP30,ZNF705A,ZNF25,ZNF626,ZNF92,ZNF479,ZNF430,ZNF8,ZNF573,ZNF546,ZNF30,ZNF420,ZNF569,ZNF540,ZNF333,ZNF100,ZNF431,ZNF383,ZNF471,ZNF257,ZNF709,ZNF624,ZNF684,ZNF550,ZFP69,ZNF433,ZNF93,ZFP92,ZNF10,ZNF253,ZNF493,ZNF718,ZNF485,ZNF124,ZNF737,ZNF585B,ZNF2,ZNF565,ZNF283,ZNF729,ZNF669,ZFP90,ZNF19,ZNF14,ZNF850,ZNF726,ZNF699,ZFP82,ZNF570,ZNF354C,ZNF583,ZNF136,ZNF490,ZNF649,ZNF543,ZNF879,ZNF84,ZNF735,ZNF84,ZNF878,ZNF37A,ZNF682,ZNF302,ZNF571,ZNF470,ZNF250,ZNF182,ZFP14,ZNF736,ZNF846,ZNF3,ZNF189,ZNF157,ZNF506,ZNF780A,ZNF454,ZNF429,ZNF720,ZNF555,ZNF627,ZNF436,ZFP69B,ZNF582,ZNF79,ZNF625
ZNF705D	ZNF705B,ZNF705A,ZNF705G,ZNF596,ZNF558,ZNF829,ZNF557,ZNF317,ZNF98,ZNF708,ZNF679,ZNF140,ZNF566,ZNF184,ZNF705A,ZFP30,ZNF626,ZNF25,ZNF430,ZNF92,ZNF30,ZNF479,ZNF420,ZNF546,ZNF8,ZNF573,ZNF431,ZNF100,ZNF540,ZNF333,ZNF568,ZNF383,ZNF471,ZNF709,ZNF93,ZNF257,ZNF684,ZNF433,ZNF550,ZFP92,ZNF569,ZNF624,ZFP69,ZNF10,ZNF253,ZNF493,ZNF737,ZFP82,ZNF585B,ZNF726,ZNF669,ZNF124,ZNF19,ZNF283,ZNF718,ZNF729,ZFP90,ZNF565,ZNF350,ZNF850,ZNF736,ZNF878,ZNF699,ZNF14,ZNF682,ZNF649,ZNF354C,ZNF485,ZNF136,ZNF490,ZNF543,ZNF189,ZNF583,ZNF735,ZNF555,ZNF302,ZNF470,ZNF879,ZNF3,ZNF250,ZNF720,ZNF846,ZNF570,ZNF571,ZNF2,ZNF182,ZNF84,ZNF506,ZFP14,ZNF84,ZNF37A,ZNF157,ZNF625,ZNF780A,ZNF727,ZNF627,ZNF436,ZFP69B,ZNF791,ZNF91
ZNF705G	ZNF705A,ZNF705D,ZNF705B,ZNF596,ZNF558,ZNF557,ZNF829,ZNF25,ZNF140,ZNF98,ZNF317,ZNF573,ZNF626,ZNF430,ZNF420,ZNF679,ZNF479,ZNF93,ZNF709,ZNF184,ZNF92,ZNF566,ZNF669,ZNF124,ZNF100,ZFP92,ZNF189,ZNF705A,ZNF565,ZNF540,ZNF30,ZNF878,ZNF699,ZNF737,ZNF493,ZNF568,ZNF585B,ZNF79,ZNF154,ZNF485,ZNF684,ZNF19,ZNF490,ZNF383,ZNF569,ZNF546,ZNF649,ZNF678,ZNF555,ZNF253,ZNF283,ZNF543,ZNF157,ZFP14,ZNF729,ZNF136,ZNF879,ZNF354C,ZNF736,ZNF331,ZNF471,ZNF2,ZNF506,ZNF257,ZNF571,ZNF16,ZNF10,ZNF791,ZFP30,ZNF726,ZNF454,ZFP69,ZNF333,ZNF14,ZNF3,ZNF780A,ZNF735,ZNF436,ZNF480,ZNF627,ZNF682,ZNF582,ZNF273,ZNF782,ZNF182,ZNF84,ZNF84,ZNF264,ZNF250,ZNF26,ZNF26,ZNF670,ZNF431,ZFP82,ZNF135,ZNF70,ZNF718,ZFP2,ZNF624,ZNF850
SLC2A4RG	ZNF704,ZNF395,TCF7L2
ZNF395	ZNF704,SLC2A4RG,TCF7L2
ZNF433	ZNF700,ZNF709,ZNF443,ZNF14,ZNF441,ZNF799,ZNF878,ZNF20,ZNF823,ZNF442,ZNF791,ZNF420,ZNF44,ZNF136,ZNF699,ZNF665,ZNF234,ZNF850,ZNF84,ZNF84,ZNF91,ZNF658,ZNF208,ZNF729,ZNF658B,ZNF658B,ZNF585B,ZNF569,ZNF616,ZNF624,ZNF43,ZNF546,ZNF160,ZNF268,ZNF778,ZNF607,ZNF135,ZNF845,ZNF184,ZNF30,ZNF99,ZNF721,ZNF439,ZNF429,ZNF347,ZNF93,ZNF229,ZNF780B,ZNF585A,ZNF440,ZNF573,ZNF45,ZNF226,ZNF227,ZNF627,ZFP62,ZNF197,ZNF841,ZNF555,ZNF283,ZNF224,ZNF761,ZNF493,ZNF470,ZNF836,ZNF788,ZNF107,ZNF808,ZNF717,ZNF28,ZNF571,ZNF225,ZNF780A,ZNF594,ZNF814,ZNF726,ZNF235,ZNF605,ZNF615,ZNF41,ZNF600,ZNF23,ZNF625,ZNF491,ZNF534,RBAK,ZNF540,ZNF12,ZNF345,ZNF33B,ZNF254,ZNF484,ZNF85,ZNF681,ZNF568,ZNF560,ZNF708,ZNF337,ZNF182,ZFP112
ZNF439	ZNF700,ZNF440,ZNF433,ZNF20,ZNF709,ZNF627,ZNF491,ZNF878,ZNF823,ZNF136,ZNF791,ZNF563,ZNF442,ZNF44,ZNF490,ZNF14,ZNF799,ZNF443,ZNF441,ZNF844,ZNF625,ZNF77,ZNF699,ZNF555,ZNF57,ZNF93,ZNF420,ZFP30,ZNF426,ZNF626,ZNF101,ZNF568,ZNF45,ZNF670,ZNF846,ZNF30,ZNF678,ZNF98,ZNF569,ZNF283,ZNF737,ZNF135,ZKSCAN7,ZFP14,ZNF25,ZNF546,ZNF596,ZNF345,ZNF331,ZNF720,ZNF287,ZFP82,ZNF543,ZNF850,ZNF157,ZNF383,ZNF234,ZNF23,ZNF571,ZNF404,ZNF317,ZNF565,ZNF782,ZNF479,ZNF726,ZNF253,ZNF708,ZNF470,ZNF658,ZNF805,ZNF92,ZNF624,ZNF85,ZNF224,ZNF180,ZFP2,ZNF429,ZNF728,ZNF471,ZNF721,ZNF480,ZNF540,ZNF658B,ZNF658B,ZNF431,ZNF573,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF91,ZNF718,ZNF84,ZNF485,ZNF84,ZNF778,ZNF235
ZFP41	ZNF70,ZNF79,ZNF135,ZNF16,ZKSCAN7,ZNF286A,ZNF664,ZFP2,ZKSCAN1,GLI4,ZNF286B,ZNF566,ZNF852,ZFP37,ZNF436,ZNF554,ZNF93,ZNF345,ZNF418,ZNF514,ZNF502,ZNF572,ZNF7,ZNF594,ZNF629,ZNF23,ZSCAN30,ZKSCAN3,ZNF397,ZNF331,ZNF37A,ZNF232,ZNF420,ZNF180,ZNF662,ZNF3,ZNF41,ZNF544,ZNF85,ZNF211,ZNF565,ZNF471,ZNF551,ZNF501,ZNF674,ZNF84,ZNF841,ZNF84,ZNF33B,ZSCAN2,ZNF383,ZFP28,ZNF773,ZNF329,ZNF391,ZNF483,ZNF248,ZNF790,ZNF454,ZNF700,ZNF10,ZNF267,ZNF287,ZNF429,ZNF91,ZNF350,ZNF132,PRDM9,ZNF879,ZKSCAN8,ZNF623,ZNF624,ZNF793,ZNF485,ZNF252P,ZNF99,ZNF300,ZNF768,ZNF709,ZNF253,ZNF461,ZNF71,ZNF35,ZNF184,ZKSCAN4,ZNF34,ZNF419,ZNF154,ZNF165,ZNF605,ZFP90,ZNF626,ZNF431,ZNF260,ZNF529,ZNF568,ZNF585A,ZNF585B,ZNF569,ZNF229
ZNF787	ZNF7,ZNF71,ZNF572,ZNF34,ZNF304,ZNF629,HKR1,ZNF497,ZNF470,ZNF133,ZNF300,ZNF211,ZNF613,ZNF416,ZNF675,PRDM9,ZNF189,ZNF43,ZNF345,ZNF571,ZFP112,ZNF676,ZKSCAN7,ZNF845,ZNF135,ZNF184,ZNF3,ZNF169,ZNF286B,ZNF726,ZNF93,ZNF432,ZNF320,ZNF623,ZNF286A,ZNF850,ZFP3,ZNF91,ZNF229,ZNF84,ZNF835,ZNF84,ZNF778,ZNF483,ZNF397,ZNF324B,ZNF70,ZNF585A,ZNF227,ZNF517,ZNF841,ZNF583,ZNF607,ZNF615,ZNF250,ZNF41,ZNF208,ZNF45,ZNF160,ZSCAN20,ZNF22,ZNF585B,ZNF569,ZNF226,ZIK1,ZNF85,ZNF599,ZNF81,ZNF436,ZSCAN10,ZNF235,ZNF8,ZNF665,ZNF544,ZNF480,ZNF232,ZNF557,ZNF154,ZNF836,ZNF605,ZNF846,ZNF514,ZNF501,ZFP2,ZNF771,ZSCAN2,ZNF266,ZNF224,ZNF721,ZKSCAN3,ZNF16,ZNF780A,ZNF420,ZNF551,ZNF671,ZNF678,ZNF99,ZNF37A,ZNF554,ZNF792
ZBTB40	ZNF699,ZNF726,ZNF85,ZNF433,ZNF91,ZNF208,ZNF226,ZNF709,ZNF791,ZNF836,ZNF778,ZNF317,ZNF16,ZNF729,ZNF43,ZNF555,ZNF93,ZNF160,ZNF845,ZNF700,ZNF33B,ZNF14,ZNF227,ZNF28,ZNF184,ZNF90,ZNF568,ZFP3,ZNF728,ZNF337,ZNF658B,ZNF658,ZNF658B,ZNF878,ZNF234,ZNF12,ZNF708,ZNF624,ZNF493,ZNF571,ZNF816,ZNF41,ZNF676,ZNF345,ZNF135,ZNF665,ZNF266,ZNF429,ZNF420,ZNF607,ZNF850,ZNF44,ZNF99,ZNF560,ZNF567,ZNF569,ZNF546,ZNF224,ZNF117,ZNF287,ZNF77,ZNF846,ZNF442,ZNF98,ZFP2,ZNF84,ZNF761,ZNF84,ZNF675,ZNF616,ZNF71,ZNF30,ZNF629,ZNF492,ZNF540,ZNF573,ZNF180,ZNF175,ZNF425,ZNF33A,ZNF443,ZNF714,ZNF283,ZNF879,ZNF732,ZFP62,ZNF780B,ZNF441,ZFP112,ZNF268,ZNF45,ZFP28,ZNF502,ZNF799,ZNF347,ZNF611,ZNF585A,ZNF585B,ZNF782,ZNF717
SHF	ZNF696,  ZFYVE28,  ZNF461,  KLHL3,  BHLHB9,  TMEM81,  ADAM22,  EFCAB7,  MBLAC2,  ZNF493,  KCNAB3,  ZNF420,  SHF,  ZNF575,  TFAP2E
FBXO6	ZNF687,  VAC14,  FBXO6,  ZNF787,  AREL1,  PPP1R11,  LIAS,  GPN2,  KLHDC4,  FTSJ2,  CHFR,  CYLD,  NUP50,  GGPS1,  KIAA0317,  PNPT1,  APTX,  PPIH,  GUF1,  VHL
ESPN	ZNF683,  MARCH10,  SPAG6,  MORN3,  DMRTB1,  WDR62,  FTMT,  IGSF9,  PRM3,  ESPN,  CTSV,  OVOL1,  CTSL2,  EPPIN,  MS4A6E,  OAZ3,  SIRPD,  CCDC155,  NACA2,  CST9L,  PRSS21,  DPEP3
TP73	ZNF681,  TP73,  KCNJ14,  ANKK1,  ATAD5,  WNT16,  KLK14,  GAN,  RAD54B,  HIST3H2BB,  ARHGAP11B,  TRPV3,  CDH26,  MCM10,  CCNF
ZNF273	ZNF680,ZNF429,ZNF98,ZNF708,ZNF92,ZNF737,ZNF85,ZNF254,ZNF493,ZNF257,ZNF431,ZNF726,ZNF91,ZNF675,ZNF93,ZNF729,ZNF728,ZNF430,ZNF43,ZNF730,ZNF681,ZNF208,ZNF479,ZNF492,ZNF626,ZNF100,ZNF99,ZNF90,ZNF676,ZNF253,ZNF714,ZNF716,ZNF107,ZNF732,ZNF141,ZNF117,ZNF486,ZNF682,ZNF718,ZNF695,ZNF506,ZNF678,ZNF721,ZNF679,ZNF727,ZNF735,ZNF720,ZNF736,ZNF347,ZNF160,ZNF665,ZNF267,ZNF420,ZNF880,ZNF195,ZNF540,ZNF283,ZNF850,ZNF780A,ZNF568,ZNF471,ZNF780B,ZFP14,ZNF546,ZNF528,ZNF879,ZNF30,ZNF841,ZNF836,ZNF569,ZFP30,ZNF28,ZFP82,ZNF624,ZNF480,ZNF135,ZNF571,ZNF345,ZNF845,ZNF790,ZNF583,ZNF470,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF519,ZNF404,ZNF287,ZNF565,ZNF699,ZNF607,ZNF234,ZNF578,ZNF83,ZNF543,ZNF184
